# Make a gift redirects
makeagift.ucsf.edu/site/SPageServer?Primary=Student Education&AppealCode=AEA19	https://giving.ucsf.edu/category/0ZG8Z000000oYJVWA2?appealCode=AEA19
makeagift.ucsf.edu/site/SPageServer?Primary=Student Education&AppealCode=AEA19	https://giving.ucsf.edu/category/0ZG8Z000000oYJVWA2?appealCode=AEA19
makeagift.ucsf.edu/site/SPageServer?Primary=Student Support	https://giving.ucsf.edu/category/0ZG8Z000000oYJVWA2
makeagift.ucsf.edu/site/SPageServer?Primary=UCSF Alumni Association&ACode=7902629-SFFDN	https://giving.ucsf.edu/fund/01t8Z00000BdU7lQAF
makeagift.ucsf.edu/site/SPageServer?Primary=UCSF Alumni Association&ACode=7902629-SFFDN	https://giving.ucsf.edu/fund/01t8Z00000BdU7lQAF
makeagift.ucsf.edu/site/SPageServer?Primary=UCSF Neurosciences&ACode=B7583&AppealCode=11XWINW	https://giving.ucsf.edu/fund/01t8Z00000BdTsWQAV
makeagift.ucsf.edu/site/SPageServer?Primary=Urogynecology and MIGS&ACode=B8977	https://giving.ucsf.edu/category/0ZG8Z000000oYJdWAM
makeagift.ucsf.edu/site/SPageServer?pagename=A1_API_DirectorsCircleGivingForm&AppealCode=11XDIRW	https://giving.ucsf.edu/fund/01t8Z00000BdTyPQAV?appealCode=11XDIRW
makeagift.ucsf.edu/site/SPageServer?pagename=A1_API_DiscoveryFellowsProgramGivingForm	https://giving.ucsf.edu/fund/01t8Z00000BdTsfQAF
makeagift.ucsf.edu/site/SPageServer?pagename=A1_API_EDSGivingForm	https://giving.ucsf.edu/fund/other?giftComments=Ehlers-Danlos Research Fund B3198
makeagift.ucsf.edu/site/SPageServer?pagename=A1_API_EmployeeGivingForm&ACode=B2014&AppealCode=EG15L	https://giving.ucsf.edu/fund/campaign-for-ucsf-medical-center-at-mission-bay/01t8Z00000BdU3WQAV?appealCode=EG15L
makeagift.ucsf.edu/site/SPageServer?pagename=A1_API_EmployeeGivingForm&AppealCode=EG21W&ACode=B9104	https://giving.ucsf.edu/fund/01t8Z00000AdaBIQAZ?appealCode=EG21W
makeagift.ucsf.edu/site/SPageServer?pagename=A1_API_EmployeeGivingForm&AppealCode=EGZWG	https://giving.ucsf.edu/ways-to-give/employee-giving?appealcode=EGZWG
makeagift.ucsf.edu/site/SPageServer?pagename=A1_API_EmployeeGivingForm&AppealCode=EGZWG	https://giving.ucsf.edu/ways-to-give/employee-giving?appealcode=EGZWG
makeagift.ucsf.edu/site/SPageServer?pagename=A1_API_ExecutiveHealthGivingForm&AppealCode=EXH8W	https://giving.ucsf.edu/?appealcode=EXH8W
makeagift.ucsf.edu/site/SPageServer?pagename=A1_API_FlexSustainerGivingForm&Primary=Cancer&AppealCode=E18W2	https://giving.ucsf.edu/fund/01t8Z00000BdTvwQAF?donationType=monthly&appealCode=E18W2
makeagift.ucsf.edu/site/SPageServer?pagename=A1_API_FlexSustainerGivingForm&Primary=Cancer&AppealCode=E18W2	https://giving.ucsf.edu/fund/01t8Z00000BdTvwQAF?donationType=monthly&appealCode=E18W2
makeagift.ucsf.edu/site/SPageServer?pagename=A1_API_GeneralGivingForm	https://giving.ucsf.edu/
makeagift.ucsf.edu/site/SPageServer?pagename=A1_API_GeneralGivingForm	https://giving.ucsf.edu/
makeagift.ucsf.edu/site/SPageServer?ACode=B0020	https://giving.ucsf.edu/fund/01t8Z00000BdU7LQAV
makeagift.ucsf.edu/site/SPageServer?ACode=B0020&AppealCode=FZGPW	https://giving.ucsf.edu/fund/01t8Z00000BdU7LQAV?appealCode=FZGPW
makeagift.ucsf.edu/site/SPageServer?ACode=B0020&AppealCode=G9FAW	https://giving.ucsf.edu/fund/01t8Z00000BdU7LQAV?appealCode=G9FAW
makeagift.ucsf.edu/site/SPageServer?ACode=B0020&AppealCode=G9Y1W	https://giving.ucsf.edu/fund/01t8Z00000BdU7LQAV?appealCode=G9Y1W
makeagift.ucsf.edu/site/SPageServer?ACode=B8978&AppealCode=ZCA13	https://giving.ucsf.edu/fund/01t8Z00000BdTw5QAF?appealCode=ZCA13
makeagift.ucsf.edu/site/SPageServer?ACode=B8978&AppealCode=ZCA13	https://giving.ucsf.edu/fund/01t8Z00000BdTw5QAF?appealCode=ZCA13
makeagift.ucsf.edu/site/SPageServer?AppealCode=11GGVTW	https://giving.ucsf.edu?appealCode=11GGVTW
makeagift.ucsf.edu/site/SPageServer?AppealCode=11GWEB	https://giving.ucsf.edu?appealCode=11GWEB
makeagift.ucsf.edu/site/SPageServer?AppealCode=11GWEBL&ACode=B0020&GiftChoice=1000	https://giving.ucsf.edu/fund/01t8Z00000BdU7LQAV?appealCode=11GWEB&giftChoice=1000
makeagift.ucsf.edu/site/SPageServer?AppealCode=11SBRAND	https://giving.ucsf.edu?appealCode=11SBRAND
makeagift.ucsf.edu/site/SPageServer?AppealCode=1CP13	https://giving.ucsf.edu?appealCode=1CP13
makeagift.ucsf.edu/site/SPageServer?AppealCode=24YANNWG	https://giving.ucsf.edu?appealCode=24YANNWG
makeagift.ucsf.edu/site/SPageServer?AppealCode=ASGRM	https://giving.ucsf.edu?appealCode=ASGRM
makeagift.ucsf.edu/site/SPageServer?AppealCode=ASGRW	https://giving.ucsf.edu?appealCode=ASGRW
makeagift.ucsf.edu/site/SPageServer?AppealCode=ENVMW&ACode=B0020&utm_source=magazine&utm_medium=shorturl&utm_campaign=remit	https://giving.ucsf.edu?appealCode=ENVMW&utm_source=magazine&utm_medium=shorturl&utm_campaign=remit
makeagift.ucsf.edu/site/SPageServer?AppealCode=EXH17&Other=The Patient Experience Fund  (B1928)	https://giving.ucsf.edu/fund/other?AppealCode=EXH17&giftComments=The Patient Experience Fund (B1928)
makeagift.ucsf.edu/site/SPageServer?AppealCode=G1TXW	https://giving.ucsf.edu?appealCode=G1TXW
makeagift.ucsf.edu/site/SPageServer?AppealCode=G9TXW	https://giving.ucsf.edu?appealCode=G9TXW
makeagift.ucsf.edu/site/SPageServer?AppealCode=G9Y2W	https://giving.ucsf.edu?appealCode=G9Y2W
makeagift.ucsf.edu/site/SPageServer?AppealCode=G9Y3W	https://giving.ucsf.edu?appealCode=G9Y3W
makeagift.ucsf.edu/site/SPageServer?AppealCode=G9YRW	https://giving.ucsf.edu?appealCode=G9YRW
makeagift.ucsf.edu/site/SPageServer?AppealCode=GL86W	https://giving.ucsf.edu?appealCode=GL86W
makeagift.ucsf.edu/site/SPageServer?AppealCode=GNW17	https://giving.ucsf.edu?appealCode=GNW17
makeagift.ucsf.edu/site/SPageServer?AppealCode=GS16	https://giving.ucsf.edu?appealCode=GS16
makeagift.ucsf.edu/site/SPageServer?AppealCode=GS16	https://giving.ucsf.edu?appealCode=GS16
makeagift.ucsf.edu/site/SPageServer?AppealCode=GTY18	https://giving.ucsf.edu?appealCode=GTY18
makeagift.ucsf.edu/site/SPageServer?AppealCode=TX17W	https://giving.ucsf.edu?appealCode=TX17W
makeagift.ucsf.edu/site/SPageServer?AppealCode=TX17X	https://giving.ucsf.edu?appealCode=TX17X
makeagift.ucsf.edu/site/SPageServer?AppealCode=ZCA11&Other=Bakar Institute Technology %26 Projects Fund - AI4ALL (B7933)	https://giving.ucsf.edu/fund/other?giftComments=Bakar Institute Technology %26 Projects Fund - AI4ALL (B7933)&appealCode=ZCA11
makeagift.ucsf.edu/site/SPageServer?IMO=1&imoFirst=Alex&imoLast=Margulis&Other=Margulis Memorial Fund - Radiology Programs and Innovations (B0590)	https://giving.ucsf.edu/fund/01t8Z00000Adae0QAB?tribute=2&tributeFullName=Alex Margulis
makeagift.ucsf.edu/site/SPageServer?IMO=1&imoFirst=Cindy&imoLast=Lamar&Primary=Women's Health&Other=UCSF Gynecologic Oncology Tissue Bank (B7449)	https://giving.ucsf.edu/fund/01t8Z00000AdlJyQAJ?tribute=2&tributeFullName=Cindy Lamar
makeagift.ucsf.edu/site/SPageServer?IMO=2&AppealCode=23GDRDW	https://giving.ucsf.edu/?tribute=1
makeagift.ucsf.edu/site/SPageServer?IMO=2&imoFirst=James D.&imoLast=Silke Sr.&Primary=Cancer&ACode=B7210	https://giving.ucsf.edu/fund/01t8Z00000BdTw7QAF?tribute=1&tributeFullName=James D. Silke Sr.
makeagift.ucsf.edu/site/SPageServer?Other=Alliance Health Project (B0584)	https://giving.ucsf.edu/fund/01t8Z00000BdTvlQAF
makeagift.ucsf.edu/site/SPageServer?Other=Alpha Stem Cell Clinic zzz 7031483-SFFDN	https://giving.ucsf.edu/fund/01t8Z00000Ada9aQAB
makeagift.ucsf.edu/site/SPageServer?Other=Amend Program (B9009)	https://giving.ucsf.edu/fund/01t8Z00000AdaZPQAZ
makeagift.ucsf.edu/site/SPageServer?Other=Amend Program (B9009)	https://giving.ucsf.edu/fund/01t8Z00000AdaZPQAZ
makeagift.ucsf.edu/site/SPageServer?Other=Amyloid Center Hematologic Malignancies (B7011)&IMO=1&imoFirst=Jerry&imoLast=South	https://giving.ucsf.edu/fund/other?giftComments=Amyloid Center Hematologic Malignancies (B7011) in memory of Jerry South&tribute=2&tributeFullName=Jerry South
makeagift.ucsf.edu/site/SPageServer?Other=Arenson Endowment (S8104)&AppealCode=AMS16	https://giving.ucsf.edu/fund/01t8Z00000AdabuQAB?appealCode=AMS16
makeagift.ucsf.edu/site/SPageServer?Other=Art For Recovery (B1774)&AppealCode=ARFWB	https://giving.ucsf.edu/fund/01t8Z00000BdTuzQAF?appealCode=ARFWB
makeagift.ucsf.edu/site/SPageServer?Other=Baranzini - International MS Microbiome Study (B3030)&AppealCode=MSMS9	https://giving.ucsf.edu/fund/01t8Z00000AdaaDQAR?appealCode=MSMS9
makeagift.ucsf.edu/site/SPageServer?Other=Baszucki Lymphoma Therapeutics Initiative zzz7030915-SFFDN&IMO=1&imoFirst=Todd&imoLast=Ellison	https://giving.ucsf.edu/fund/other?giftComments=Baszucki Lymphoma Therapeutics Initiative 7030915-SFFDN in honor of Todd Ellison&tribute=1&tributeFullName=Todd Ellison
makeagift.ucsf.edu/site/SPageServer?Other=Bay Area Youth in Science (BAYS) Program zzz7031370-SFFDN	https://giving.ucsf.edu/fund/other?giftComments=Bay Area Youth in Science (BAYS) Program 7031370-SFFDN
makeagift.ucsf.edu/site/SPageServer?Other=Benioff Center for Microbiome Medicine (B8092)	https://giving.ucsf.edu/fund/other?giftComments=Benioff Center for Microbiome Medicine (B8092)
makeagift.ucsf.edu/site/SPageServer?Other=Bioengineering and Therapeutic Sciences (B0782)	https://giving.ucsf.edu/fund/other?giftComments=Bioengineering and Therapeutic Sciences (B0782)
makeagift.ucsf.edu/site/SPageServer?Other=Black Health Initiative (B9265)	https://giving.ucsf.edu/fund/01t8Z00000AdaggQAB
makeagift.ucsf.edu/site/SPageServer?Other=Black Health Initiative (B9265)	https://giving.ucsf.edu/fund/01t8Z00000AdaggQAB
makeagift.ucsf.edu/site/SPageServer?Other=Black Women's Health and Livelihood Initiative (B9068)	https://giving.ucsf.edu/fund/01t8Z00000BdTrDQAV
makeagift.ucsf.edu/site/SPageServer?Other=BLOOM: The Black Baby Equity CliniczzzC0178	https://giving.ucsf.edu/fund/01t8Z00000AdaPyQAJ
makeagift.ucsf.edu/site/SPageServer?Other=Brachial Neuritis - Ponceletzzz7002066	https://giving.ucsf.edu/fund/other?giftComments=Brachial Neuritis - Poncelet 7002066
makeagift.ucsf.edu/site/SPageServer?Other=Brain Tumor Center Research (B0628)	https://giving.ucsf.edu/fund/01t8Z00000BdTqpQAF
makeagift.ucsf.edu/site/SPageServer?Other=Brain Tumor Center Research (B0628)	https://giving.ucsf.edu/fund/01t8Z00000BdTqpQAF
makeagift.ucsf.edu/site/SPageServer?Other=CARE for Asian Americans and Pacific Islanders (B8970)&GiftChoice=50	https://giving.ucsf.edu/fund/other?giftComments=CARE for Asian Americans and Pacific Islanders (B8970)&giftChoice=50
makeagift.ucsf.edu/site/SPageServer?Other=Carolina Braga, MD School of Medicine Scholarship Fund (B9079)&Primary=Women's Health&IMO=2&&imoFirst=Carolina&imoLast=Braga	https://giving.ucsf.edu/fund/other?giftComments=Carolina Braga, MD School of Medicine Scholarship Fund (B9079)&tribute=2&tributeFullName=Carolina Braga
makeagift.ucsf.edu/site/SPageServer?Other=Center for Children's Oral Health Research - Dr. Den Besten zzzB7418	https://giving.ucsf.edu/fund/01t8Z00000BdU3MQAV
makeagift.ucsf.edu/site/SPageServer?Other=Center for Healthcare Value (B3278)	https://giving.ucsf.edu/fund/01t8Z00000AdaetQAB
makeagift.ucsf.edu/site/SPageServer?Other=Center for Next-Gen Precision Diagnostics (B7355)	https://giving.ucsf.edu/fund/other?giftComments=Center for Next-Gen Precision Diagnostics (B7355)
makeagift.ucsf.edu/site/SPageServer?Other=Center for Population Brain Health (Psychiatry Faculty Support Fund B7483)&AppealCode=AKAUP	https://giving.ucsf.edu/fund/other?giftComments=Center for Population Brain Health (Psychiatry Faculty Support Fund B7483)&appealCode=AKAUP
makeagift.ucsf.edu/site/SPageServer?Other=Center for Pregnancy Options at Mount Zion zzz7031486-SFFDN	https://giving.ucsf.edu/fund/other?giftComments=Center for Pregnancy Options at Mount Zion 7031486-SFFDN
makeagift.ucsf.edu/site/SPageServer?Other=Center for Sexual and Gender Minority Health (B8125)&AppealCode=SGM21	https://giving.ucsf.edu/fund/other?giftComments=Center for Sexual and Gender Minority Health (B8125)&appealCode=SGM21
makeagift.ucsf.edu/site/SPageServer?Other=Center for Vulnerable Populations (B2394)&AppealCode=CVPA8	https://giving.ucsf.edu/fund/01t8Z00000Adad2QAB?appealCode=CVPA8
makeagift.ucsf.edu/site/SPageServer?Other=Child Trauma Research-Lieberman (B2206)	https://giving.ucsf.edu/fund/01t8Z00000BdToHQAV
makeagift.ucsf.edu/site/SPageServer?Other=Children's Cancer Fund-B7440	https://giving.ucsf.edu/fund/01t8Z00000BdTnbQAF
makeagift.ucsf.edu/site/SPageServer?Other=Christina Capurro Sand Brain Tumor Fund - Caregiver Program (B7911)&AppealCode=NSGCC	https://giving.ucsf.edu/fund/other?giftComments=Christina Capurro Sand Brain Tumor Fund - Caregiver Program (B7911)&appealCode=NSGCC
makeagift.ucsf.edu/site/SPageServer?Other=Citywide Support Fund (B9107)	https://giving.ucsf.edu/fund/01t8Z00000Adah5QAB
makeagift.ucsf.edu/site/SPageServer?Other=Clinical Neuro-Oncology Research (B1573)	https://giving.ucsf.edu/fund/other?giftComments=Clinical Neuro-Oncology Research (B1573)
makeagift.ucsf.edu/site/SPageServer?Other=Conway Gateway Building (B2014)	https://giving.ucsf.edu/fund/01t8Z00000BdU3WQAV
makeagift.ucsf.edu/site/SPageServer?Other=Craig Severance Fund zzzB7571	https://giving.ucsf.edu/fund/other?giftComments=Craig Severance Fund B7571
makeagift.ucsf.edu/site/SPageServer?Other=Division of HIV, ID and Global Medicine (B1422)	https://giving.ucsf.edu/fund/01t8Z00000BdU0LQAV
makeagift.ucsf.edu/site/SPageServer?Other=Dr. Breyer's Research Fund (B7444)	https://giving.ucsf.edu/fund/01t8Z00000AdaaSQAR
makeagift.ucsf.edu/site/SPageServer?Other=Dr. Collin Blakely - Thoracic Oncology Clinical Trials (B3356)	https://giving.ucsf.edu/fund/other?giftComments=Dr. Collin Blakely - Thoracic Oncology Clinical Trials (B3356)
makeagift.ucsf.edu/site/SPageServer?Other=Dr. Daniel Le Grange (Psychiatry Faculty Support Fund B7483)&AppealCode=GRANG	https://giving.ucsf.edu/fund/other?giftComments=Dr. Daniel Le Grange (Psychiatry Faculty Support Fund B7483)&appealCode=GRANG
makeagift.ucsf.edu/site/SPageServer?Other=Dr. Manley's TBI Research (B2497)	https://giving.ucsf.edu/fund/other?giftComments=Dr. Manley's TBI Research (B2497)
makeagift.ucsf.edu/site/SPageServer?Other=Dr. Marshall Stoller's Research (B7353)	https://giving.ucsf.edu/fund/other?giftComments=Dr. Marshall Stoller's Research (B7353)
makeagift.ucsf.edu/site/SPageServer?Other=Dr. Nancy Czaicki Memorial Gift Fund (B7693)	https://giving.ucsf.edu/fund/other?giftComments=Dr. Nancy Czaicki Memorial Gift Fund (B7693)
makeagift.ucsf.edu/site/SPageServer?Other=Dr. Schulte's Sarcoma Research Fund zzz7030962-SFFDN	https://giving.ucsf.edu/fund/other?giftComments=Dr. Schulte's Sarcoma Research Fund 7030962-SFFDN
makeagift.ucsf.edu/site/SPageServer?Other=Dr. Thomas Chi's research  (B7256)	https://giving.ucsf.edu/fund/other?giftComments=Dr. Thomas Chi's research (B7256)
makeagift.ucsf.edu/site/SPageServer?Other=Dylan Chan MD Research Fund (B7082)&AppealCode=CHNC19	https://giving.ucsf.edu/fund/other?giftComments=Dylan Chan MD Research Fund (B7082)&appealCode=CHNC19
makeagift.ucsf.edu/site/SPageServer?Other=Dyslexia Fund (B3284)	https://giving.ucsf.edu/fund/other?giftComments=Dyslexia Fund (B3284)
makeagift.ucsf.edu/site/SPageServer?Other=Edward C. Hill Endowed Chair in OB/GYN (S0589)	https://giving.ucsf.edu/fund/other?giftComments=Edward C. Hill Endowed Chair in OB/GYN (S0589)
makeagift.ucsf.edu/site/SPageServer?Other=EMBRACE: Group Prenatal Care for Black Families (B7955)	https://giving.ucsf.edu/fund/other?giftComments=EMBRACE: Group Prenatal Care for Black Families (B7955)
makeagift.ucsf.edu/site/SPageServer?Other=Estes Emancipatory Sciences Scholarshipzzz7031361-SFFDN	https://giving.ucsf.edu/fund/01t8Z00000AdaePQAR
makeagift.ucsf.edu/site/SPageServer?Other=Fetal Treatment Center (B1510)	https://donate.ucsfbenioffchildrens.org/fund/01t8Z00000BdTo1QAF
makeagift.ucsf.edu/site/SPageServer?Other=Fetal Treatment Center in memory of Andrew Berghoff (B1510)&AppealCode=K7TA1	https://giving.ucsf.edu/fund/01t8Z00000BdTo1QAF?appealCode=K7TA1
makeagift.ucsf.edu/site/SPageServer?Other=Fetal Treatment Center in memory of Andrew Berghoff (B1510)&AppealCode=K7TA1	https://giving.ucsf.edu/fund/01t8Z00000BdTo1QAF?appealCode=K7TA1
makeagift.ucsf.edu/site/SPageServer?Other=Friend to Friend Shop at Mt. Zion (B3261)&AppealCode=F2FGW	https://giving.ucsf.edu/fund/other?giftComments=Friend to Friend Shop at Mt. Zion (B3261)&appealCode=F2FGW
makeagift.ucsf.edu/site/SPageServer?Other=Global Action in Nursing (GAIN) (B8014)	https://giving.ucsf.edu/fund/01t8Z00000AdaXxQAJ
makeagift.ucsf.edu/site/SPageServer?Other=Global Brain Health Institute Support Fund (B9259)	https://giving.ucsf.edu/fund/other?giftComments=Global Brain Health Institute Support Fund
makeagift.ucsf.edu/site/SPageServer?Other=Global Cancer Program (B7262)	https://giving.ucsf.edu/fund/01t8Z00000AdaBsQAJ
makeagift.ucsf.edu/site/SPageServer?Other=Global HELP zzz7031484-SFFDN	https://giving.ucsf.edu/fund/other?giftComments=Global HELP  7031484-SFFDN
makeagift.ucsf.edu/site/SPageServer?Other=Gold Headed Cane (B7489)	https://giving.ucsf.edu/fund/other?giftComments=Gold Headed Cane (B7489)
makeagift.ucsf.edu/site/SPageServer?Other=Gynecologic Oncology (B7208)	https://giving.ucsf.edu/fund/01t8Z00000BdU17QAF
makeagift.ucsf.edu/site/SPageServer?Other=High Risk Skin Cancer (B3192)	https://giving.ucsf.edu/fund/other?giftComments=High Risk Skin Cancer (B3192)
makeagift.ucsf.edu/site/SPageServer?Other=HIVE Project (B8572)	https://giving.ucsf.edu/fund/other?giftComments=HIVE Project (B8572)
makeagift.ucsf.edu/site/SPageServer?Other=HOPE Consortium - Institute for Global Health Fund (B1800)&AppealCode=ZCA16	https://giving.ucsf.edu/fund/other?giftComments=HOPE Consortium - Institute for Global Health Fund (B1800)&appealCode=ZCA16
makeagift.ucsf.edu/site/SPageServer?Other=Hope Rugo Metastatic Breast Cancer Research Fund (B7570)&AppealCode=RUG9W	https://giving.ucsf.edu/fund/01t8Z00000AddbzQAB?appealCode=RUG9W
makeagift.ucsf.edu/site/SPageServer?Other=Hsiao Research Fund for Rare Disorders (B7141)	https://giving.ucsf.edu/fund/other?giftComments=Hsiao Research Fund for Rare Disorders (B7141)
makeagift.ucsf.edu/site/SPageServer?Other=Ida Friend Infusion Center (B1631)	https://giving.ucsf.edu/fund/other?giftComments=Ida Friend Infusion Center (B1631)
makeagift.ucsf.edu/site/SPageServer?Other=Ida Friend Infusion Center (B1631)	https://giving.ucsf.edu/fund/other?giftComments=Ida Friend Infusion Center (B1631)
makeagift.ucsf.edu/site/SPageServer?Other=Irene Gilbert Scholarship Endowment (S8111)	https://giving.ucsf.edu/fund/01t8Z00000BdU2YQAV
makeagift.ucsf.edu/site/SPageServer?Other=Jeree H. Pawl Memorial Fund - 7030936	https://giving.ucsf.edu/fund/other?giftComments=Jeree H. Pawl Memorial Fund - 7030936
makeagift.ucsf.edu/site/SPageServer?Other=Jobie Project Fund zzz7030973 - SFFDN	https://giving.ucsf.edu/fund/other?giftComments=Jobie Project Fund  7030973 - SFFDN
makeagift.ucsf.edu/site/SPageServer?Other=John V. Carbone Jr. Pancreatic Cancer Research Memorial Fund (B8989)&IMO=2&imoFirst=John&imoLast=Carbone&AppealCode=JCWEB	https://giving.ucsf.edu/fund/other?giftComments=John V. Carbone Jr. Pancreatic Cancer Research Memorial Fund (B8989)&IMO=2&imoFirst=John&imoLast=Carbone&AppealCode=JCWEB
makeagift.ucsf.edu/site/SPageServer?Other=Koz Hospitality House (B7448)	https://giving.ucsf.edu/fund/other?giftComments=Koz Hospitality House (B7448)
makeagift.ucsf.edu/site/SPageServer?Other=Krogan Lab Collaboration and Innovation Fund (B7792)	https://giving.ucsf.edu/fund/other?giftComments=Krogan Lab Collaboration and Innovation Fund (B7792)
makeagift.ucsf.edu/site/SPageServer?Other=Madeline Fund - Pediatric Infusion Center (C213)	https://giving.ucsf.edu/fund/other?giftComments=Madeline Fund - Pediatric Infusion Center (C213)
makeagift.ucsf.edu/site/SPageServer?Other=Marilyn P. Chow Imagine Fund Endowment (S8255)	https://giving.ucsf.edu/fund/other?giftComments=Marilyn P. Chow Imagine Fund Endowment (S8255)
makeagift.ucsf.edu/site/SPageServer?Other=Medical Scientist Training Program (B1975)&AppealCode=MSTPW	https://giving.ucsf.edu/fund/01t8Z00000AdahKQAR?appealCode=MSTPW
makeagift.ucsf.edu/site/SPageServer?Other=Mekhail Anwar Research Fund (B7799)	https://giving.ucsf.edu/fund/other?giftComments=Mekhail Anwar Research Fund (B7799)
makeagift.ucsf.edu/site/SPageServer?Other=Meningioma Research (B1799)	https://giving.ucsf.edu/fund/other?giftComments=Meningioma Research (B1799)
makeagift.ucsf.edu/site/SPageServer?Other=Metastatic Breast Cancer Research - Melisko (B2158)	https://giving.ucsf.edu/fund/other?giftComments=Metastatic Breast Cancer Research - Melisko (B2158)
makeagift.ucsf.edu/site/SPageServer?Other=Michael L. Callaham, MD, Endowed Chair in Emergency Medicine zzz 7902659-SFFDN&AppealCode=23TEEMW	https://giving.ucsf.edu/fund/01t8Z00000AdacJQAR?appealCode=23TEEMW
makeagift.ucsf.edu/site/SPageServer?Other=Michael L. Callaham, MD, Endowed Chair in Emergency Medicine zzz 7902659-SFFDN&AppealCode=23TEEMW	https://giving.ucsf.edu/fund/01t8Z00000AdacJQAR?appealCode=23TEEMW
makeagift.ucsf.edu/site/SPageServer?Other=Milo Santos Research Fundzzz7031360-SFFDN	https://giving.ucsf.edu/fund/other?giftComments=Milo Santos Research Fund 7031360-SFFDN
makeagift.ucsf.edu/site/SPageServer?Other=Minyon Harlin Memorial Fund (B9241)	https://giving.ucsf.edu/fund/other?giftComments=Minyon Harlin Memorial Fund (B9241)
makeagift.ucsf.edu/site/SPageServer?Other=Multi-disciplinary Approach to Transplant-Centered Health (B9105)&AppealCode=NPH20	https://giving.ucsf.edu/fund/other?giftComments=Multi-disciplinary Approach to Transplant-Centered Health (B9105)&appealCode=NPH20
makeagift.ucsf.edu/site/SPageServer?Other=Neurology Discretionary Fund - Baranzini (B3030)	https://giving.ucsf.edu/fund/01t8Z00000AdaaDQAR
makeagift.ucsf.edu/site/SPageServer?Other=Neurology Research Fund - Amorim Lab (B0414)&AppealCode=NRA1	https://giving.ucsf.edu/fund/other?giftComments=Neurology Research Fund - Amorim Lab (B0414)&AppealCode=NRA1
makeagift.ucsf.edu/site/SPageServer?Other=Neuromuscular Division (B8133)	https://giving.ucsf.edu/fund/other?giftComments=Neuromuscular Division (B8133)
makeagift.ucsf.edu/site/SPageServer?Other=Neuro-Oncology Gordon Murray Caregiver Program (B3052)	https://giving.ucsf.edu/fund/01t8Z00000BdTx5QAF
makeagift.ucsf.edu/site/SPageServer?Other=Palliative Care Program (B2057)&IMO=1&imoFirst=Katharine&imoLast=Watson	https://giving.ucsf.edu/fund/01t8Z00000BdTzNQAV
makeagift.ucsf.edu/site/SPageServer?Other=Patient Support Corps (B2500)	https://giving.ucsf.edu/fund/other?giftComments=Patient Support Corps (B2500)
makeagift.ucsf.edu/site/SPageServer?Other=Pediatric AIBMT (B7614)	https://giving.ucsf.edu/fund/other?giftComments=Pediatric AIBMT (B7614)
makeagift.ucsf.edu/site/SPageServer?Other=Pediatric Brain Tumor Center - Gupta Laboratory (B2071)	https://giving.ucsf.edu/fund/other?giftComments=Pediatric Brain Tumor Center - Gupta Laboratory (B2071)
makeagift.ucsf.edu/site/SPageServer?Other=Pediatric CF Patient Care Fund-7030752&AppealCode=ALM	https://donate.ucsfbenioffchildrens.org/fund/01t8Z00000Ada9BQAR
makeagift.ucsf.edu/site/SPageServer?Other=Pediatric Residency Academic Support Fund (B7407)	https://donate.ucsfbenioffchildrens.org/fund/01t8Z00000AdaPdQAJ
makeagift.ucsf.edu/site/SPageServer?Other=Peter R%2E Carroll, MD, MPH, Innovation Fund (S8252)	https://giving.ucsf.edu/fund/other?giftComments=Peter R%2E Carroll, MD, MPH, Innovation Fund (S8252)
makeagift.ucsf.edu/site/SPageServer?Other=Pharmacology Discretionary Fund - Dr. Ingraham's Osteoporosis Research (B0558)&AppealCode=OSTI	https://giving.ucsf.edu/fund/other?giftComments=Pharmacology Discretionary Fund - Dr. Ingraham's Osteoporosis Research (B0558)&appealCode=OSTI
makeagift.ucsf.edu/site/SPageServer?Other=Population Health and Health Equity (B7807)	https://giving.ucsf.edu/fund/other?giftComments=Population Health and Health Equity (B7807)
makeagift.ucsf.edu/site/SPageServer?Other=PRIME-US Scholarship FundzzzB2309	https://giving.ucsf.edu/fund/other?giftComments=PRIME-US Scholarship Fund B2309
makeagift.ucsf.edu/site/SPageServer?Other=Prostate %26 Genitourinary Cancers Research Fund - Dr. Franklin Huang (B2335)&AppealCode=HUANG	https://giving.ucsf.edu/fund/other?giftComments=Prostate %26 Genitourinary Cancers Research Fund - Dr. Franklin Huang (B2335)&appealCode=HUANG
makeagift.ucsf.edu/site/SPageServer?Other=Protea Fund (B9141)	https://giving.ucsf.edu/fund/other?giftComments=Protea Fund (B9141)
makeagift.ucsf.edu/site/SPageServer?Other=Psychedelic Research Fund zzz 7031398-SFFDN	https://giving.ucsf.edu/fund/other?giftComments=Psychedelic Research Fund 7031398-SFFDN
makeagift.ucsf.edu/site/SPageServer?Other=Psychiatric Mental Health Nurse Practitioner - 7030919	https://giving.ucsf.edu/fund/other?giftComments=Psychiatric Mental Health Nurse Practitioner - 7030919
makeagift.ucsf.edu/site/SPageServer?Other=QBI Coronavirus Research Group (QCRG) Fund (B8984)&AppealCode=ZCA12	https://giving.ucsf.edu/fund/other?giftComments=QBI Coronavirus Research Group (QCRG) Fund (B8984)&appealCode=ZCA12
makeagift.ucsf.edu/site/SPageServer?Other=Quincy Lee Endowed Fellowship (S8068)	https://giving.ucsf.edu/fund/other?giftComments=Quincy Lee Endowed Fellowship (S8068)
